,Vehicle_ID,Frame_ID,Global_X,Global_Y,Global_Time_New
19346,739,3377,6451399.46,1873075.765,81797
211489,739,3378,6451401.675,1873073.669,81798
211490,739,3378,6451401.675,1873073.669,81798
323734,739,3381,6451408.321,1873067.38,81801
323733,739,3381,6451408.321,1873067.38,81801
126080,739,3387,6451421.614,1873054.801,81807
126081,739,3387,6451421.614,1873054.801,81807
5026,739,3390,6451428.26,1873048.511,81810
5027,739,3390,6451428.26,1873048.511,81810
210857,739,3395,6451439.412,1873038.111,81815
210856,739,3395,6451439.412,1873038.111,81815
317394,739,3402,6451455.485,1873024.047,81822
317395,739,3402,6451455.485,1873024.047,81822
414125,739,3412,6451478.439,1873003.948,81832
414126,739,3412,6451478.439,1873003.948,81832
355335,739,3413,6451480.756,1873001.92,81833
355334,739,3413,6451480.756,1873001.92,81833
146179,739,3508,6451159.575,1873289.785,91078
233897,739,3520,6451187.775,1873258.665,91090
283252,739,3521,6451190.01,1873256.207,91091
453075,739,3529,6451206.991,1873237.609,91099
399300,739,3530,6451209.14,1873235.265,91100
183202,739,3539,6451229.794,1873212.434,91109
257830,739,3556,6451269.829,1873168.604,91126
79585,739,3565,6451294.225,1873144.556,91135
120552,739,3576,6451324.291,1873115.861,91146
19440,739,3577,6451327.016,1873113.19,91147
376375,739,3578,6451329.741,1873110.519,91148
493031,739,3603,6451395.498,1873047.533,91173
429120,739,3606,6451403.376,1873040.155,91176
150089,739,3607,6451406.068,1873037.698,91177
484993,739,3608,6451408.765,1873035.242,91178
24567,739,3609,6451411.456,1873032.785,91179
442484,739,3617,6451432.987,1873013.13,91187
